index,English,French
1,the,le/la/l'/les
2,be,être
3,to,à
4,of,de
5,and,et
6,a,un/une
7,in,en/dans
8,that,que/cela
9,have,avoir
10,I,je
11,it,il/elle/ce
12,for,pour
13,not,ne...pas
14,on,sur
15,with,avec
16,he,il
17,as,comme
18,you,tu/vous
19,do,faire
20,at,à
21,this,ce/cet/cette/ces
22,but,mais
23,his,son/sa/ses
24,by,par
25,from,de/depuis
26,they,ils/elles
27,we,nous
28,say,dire
29,her,son/sa/ses (à elle)/la
30,she,elle
31,or,ou
32,an,un/une
33,will,aller (futur)/volonté
34,my,mon/ma/mes
35,one,un/une
36,all,tout/toute/tous/toutes
37,would,conditionnel de vouloir
38,there,il y a/là
39,their,leur/leurs
40,what,quoi/que
41,so,tellement/ainsi
42,up,haut/en haut
43,out,dehors
44,if,si
45,about,sur/à propos de
46,who,qui
47,get,obtenir/recevoir
48,which,qui/lequel
49,go,aller
50,me,me/moi
51,when,quand
52,make,fabriquer/faire
53,can,pouvoir
54,like,comme/aimer
55,time,temps/fois
56,no,non
57,just,juste/simplement
58,him,le/lui
59,know,savoir/connaître
60,take,prendre
61,people,gens/personnes
62,into,dans
63,year,année/an
64,your,ton/ta/tes/votre/vos
65,good,bon/bien
66,some,quelques/quelqu'un
67,could,pourrait
68,them,les/leur
69,see,voir
70,other,autre
71,than,que (comparaison)
72,then,alors
73,now,maintenant
74,look,regarder/avoir l'air
75,only,seulement/unique
76,come,venir
77,its,son/sa/ses (de chose)
78,over,sur/terminé
79,think,penser
80,also,aussi
81,back,retour/dos
82,after,après
83,use,utiliser/usage
84,two,deux
85,how,comment
86,our,notre/nos
87,work,travail/travailler
88,first,premier/première
89,well,bien
90,way,façon/chemin
91,even,même
92,new,nouveau/nouvelle
93,want,vouloir
94,because,parce que
95,any,quelque/aucun
96,these,ces
97,give,donner
98,day,jour
99,most,la plupart/le plus
100,us,nous
101,is,est
102,are,sont
103,was,était
104,were,étaient
105,had,avait
106,has,a
107,did,a fait
108,does,fait
109,said,a dit
110,more,plus
111,very,très
112,much,beaucoup
113,where,où
114,here,ici
115,should,devrait
116,may,peut/peut-être
117,must,doit
118,those,ces-là
119,man,homme
120,woman,femme
121,child,enfant
122,life,vie
123,world,monde
124,school,école
125,state,état
126,family,famille
127,house,maison
128,place,endroit/place
129,thing,chose
130,point,point
131,help,aide/aider
132,home,maison/foyer
133,hand,main
134,part,partie
135,group,groupe
136,problem,problème
137,fact,fait
138,eye,œil
139,head,tête
140,information,information
141,question,question
142,idea,idée
143,friend,ami/amie
144,important,important
145,number,nombre
146,change,changement/changer
147,city,ville
148,find,trouver
149,water,eau
150,call,appeler